Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1011.8, -51.27,390.831, No data,No data,0.0,00:00:00
1011.1, -129.35,392.051, No data,No data,0.0,00:00:00
1010.2, -194.28,393.196, No data,No data,0.0,00:00:00
1006.0, -74.63,394.449, No data,No data,0.0,00:00:00
1001.7, -13.33,395.577, No data,No data,0.0,00:00:00
1004.6, -34.57,396.762, No data,No data,0.0,00:00:00
1001.0, -81.55,397.911, No data,No data,0.0,00:00:00
1004.5, -72.45,399.021, No data,No data,0.0,00:00:00
1006.2, -98.50,400.138, No data,No data,0.0,00:00:00
1007.1, -69.07,401.573, No data,No data,0.0,00:00:00
1010.2, -107.36,402.940, No data,No data,0.0,00:00:00
1013.4, -35.47,404.540, No data,No data,0.0,00:00:00
1016.7, -57.59,406.050, No data,No data,0.0,00:00:00
1017.1, -71.84,407.483, No data,No data,0.0,00:00:00
1015.0, -9.96,408.641, No data,No data,0.0,00:00:00
1013.6, -23.56,409.946, No data,No data,0.0,00:00:00
1011.5, -24.82,410.827, No data,No data,0.0,00:00:00
1009.3, -50.76,411.812, No data,No data,0.0,00:00:00
1006.6, -98.35,413.097, No data,No data,0.0,00:00:00
1005.0, -84.68,414.522, No data,No data,0.0,00:00:00
1003.1, -39.58,415.952, No data,No data,0.0,00:00:00
1001.7, -192.71,417.266, No data,No data,0.0,00:00:00
1006.1, -106.94,418.612, No data,No data,0.0,00:00:00
1005.8, -152.34,420.075, No data,No data,0.0,00:00:00
1007.3, -73.78,421.316, No data,No data,0.0,00:00:00
1008.5, -3.66,422.303, No data,No data,0.0,00:00:00
1009.2, -30.60,423.404, -34.597278,-58.388167,0.0,11:39:37
1010.7, -51.77,424.544, No data,No data,0.0,00:00:00
1007.2, -15.87,425.554, -34.597278,-58.388167,0.0,11:39:38
1008.9, -82.56,426.798, No data,No data,0.0,00:00:00
1010.6, -115.70,428.187, -34.597278,-58.388163,0.0,11:39:39
1012.4, -80.39,429.727, No data,No data,0.0,00:00:00
1013.5, -33.58,431.087, -34.597282,-58.388159,0.0,11:39:40
1013.8, -81.07,432.531, No data,No data,0.0,00:00:00
1014.9, -49.91,433.909, No data,No data,0.0,00:00:00
1016.5, -47.34,435.175, No data,No data,0.0,00:00:00
1015.8, -78.76,436.518, No data,No data,0.0,00:00:00
1016.9, -70.31,437.860, No data,No data,0.0,00:00:00
1016.6, -46.20,439.134, No data,No data,0.0,00:00:00
1015.1, -34.58,440.367, No data,No data,0.0,00:00:00
1014.7, -51.42,441.641, No data,No data,0.0,00:00:00
1013.5, -47.57,442.967, No data,No data,0.0,00:00:00
1012.9, -54.16,444.334, No data,No data,0.0,00:00:00
1012.5, -49.22,445.629, No data,No data,0.0,00:00:00
1012.4, -54.51,446.873, No data,No data,0.0,00:00:00
1012.8, -50.94,448.026, No data,No data,0.0,00:00:00
1012.3, -36.94,449.201, No data,No data,0.0,00:00:00
1012.8, -42.44,450.386, No data,No data,0.0,00:00:00
1013.4, -48.89,451.743, No data,No data,0.0,00:00:00
1013.5, -68.94,453.076, No data,No data,0.0,00:00:00
1010.5, -58.74,454.424, No data,No data,0.0,00:00:00
1011.1, -127.65,455.698, No data,No data,0.0,00:00:00
1009.0, -13.08,456.935, No data,No data,0.0,00:00:00
1007.9, -49.75,458.033, No data,No data,0.0,00:00:00
1008.2, -89.28,459.073, No data,No data,0.0,00:00:00
1009.6, -69.43,460.177, No data,No data,0.0,00:00:00
1011.4, -33.31,461.325, No data,No data,0.0,00:00:00
1012.3, -73.77,462.546, No data,No data,0.0,00:00:00
1011.2, -57.46,463.807, No data,No data,0.0,00:00:00
1014.3, -47.23,465.054, No data,No data,0.0,00:00:00
1014.1, -20.92,465.418, No data,No data,0.0,00:00:00
1011.6, -48.80,466.567, No data,No data,0.0,00:00:00
1009.4, -89.76,467.813, No data,No data,0.0,00:00:00
1010.3, -37.99,469.030, No data,No data,0.0,00:00:00
1010.0, -21.95,470.318, No data,No data,0.0,00:00:00
1008.5, -11.75,471.549, No data,No data,0.0,00:00:00
1007.1, -82.98,472.668, No data,No data,0.0,00:00:00
1007.0, 12.14,473.701, No data,No data,0.0,00:00:00
1008.0, -35.83,474.621, No data,No data,0.0,00:00:00
1007.8, -1.02,475.186, No data,No data,0.0,00:00:00
Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1005.9, -16.22,0.310, No data,No data,0.0,00:00:00
1004.9, -18.83,0.847, No data,No data,0.0,00:00:00
1004.4, -18.25,1.478, No data,No data,0.0,00:00:00
1004.1, -15.81,2.077, No data,No data,0.0,00:00:00
1002.9, -18.22,2.867, No data,No data,0.0,00:00:00
1002.5, -33.56,3.816, No data,No data,0.0,00:00:00
1001.2, -29.96,4.899, No data,No data,0.0,00:00:00
1001.7, -11.65,6.207, No data,No data,0.0,00:00:00
1001.3, -38.57,7.548, No data,No data,0.0,00:00:00
1001.5, -16.51,8.824, No data,No data,0.0,00:00:00
1001.6, -9.59,9.190, No data,No data,0.0,00:00:00
1001.1, -61.18,9.506, No fix,No fix,0.0,00:00:00
1000.4, -42.83,9.796, No data,No data,0.0,00:00:00
1000.4, -7.33,10.988, No data,No data,0.0,00:00:00
1000.4, -9.01,12.367, No data,No data,0.0,00:00:00
1000.5, -22.09,13.805, No data,No data,0.0,00:00:00
1000.9, -2.66,15.158, No data,No data,0.0,00:00:00
1001.0, -7.71,16.545, No data,No data,0.0,00:00:00
1000.6, -10.32,17.869, No data,No data,0.0,00:00:00
1001.0, -14.44,19.215, No data,No data,0.0,00:00:00
1001.0, -10.70,20.776, No data,No data,0.0,00:00:00
1002.3, -17.27,22.375, No data,No data,0.0,00:00:00
1002.3, -3.23,23.964, No data,No data,0.0,00:00:00
1003.2, 3.69,25.426, No data,No data,0.0,00:00:00
1002.6, -3.99,26.684, No data,No data,0.0,00:00:00
1004.6, -12.44,27.863, No data,No data,0.0,00:00:00
1007.7, -92.24,28.578, No data,No data,0.0,00:00:00
1008.3, -36.40,29.629, No data,No data,0.0,00:00:00
1006.3, -25.62,30.836, No data,No data,0.0,00:00:00
1004.9, -25.58,32.379, No data,No data,0.0,00:00:00
1004.4, -100.39,34.026, No data,No data,0.0,00:00:00
1005.3, -4.57,35.515, No data,No data,0.0,00:00:00
1006.1, -46.84,36.988, -34.597728,-58.388022,8.3,11:42:53
1007.3, -37.87,38.520, No data,No data,0.0,00:00:00
1007.6, -10.42,39.958, -34.597697,-58.388030,0.0,11:42:54
1007.7, -42.40,41.697, No data,No data,0.0,00:00:00
1005.6, -20.72,43.473, -34.597682,-58.388022,0.0,11:42:55
1004.6, -32.51,45.278, No data,No data,0.0,00:00:00
1002.9, -33.76,46.936, -34.597671,-58.388026,0.0,11:42:56
1003.6, -3.99,48.667, No data,No data,0.0,00:00:00
1003.9, -11.49,50.345, -34.597659,-58.388030,0.0,11:42:57
1002.9, -22.90,52.031, No data,No data,0.0,00:00:00
1003.7, -12.43,53.677, -34.597655,-58.388037,0.0,11:42:58
1003.3, -6.99,55.495, No data,No data,0.0,00:00:00
1005.2, -49.42,57.245, -34.597652,-58.388049,0.0,11:42:59
1006.5, -43.66,59.063, No data,No data,0.0,00:00:00
1007.7, -25.66,60.446, -34.597644,-58.388056,0.0,11:43:00
1008.9, -18.54,61.632, No data,No data,0.0,00:00:00
1009.6, -75.65,62.833, -34.597636,-58.388060,0.0,11:43:01
1007.4, -56.30,63.997, No data,No data,0.0,00:00:00
1008.9, -73.90,65.215, -34.597629,-58.388064,0.0,11:43:02
1007.8, -58.58,66.529, No data,No data,0.0,00:00:00
1005.7, -43.81,67.804, No data,No data,0.0,00:00:00
1001.8, -13.52,69.175, No data,No data,0.0,00:00:00
1002.1, -30.55,70.198, No data,No data,0.0,00:00:00
1000.1, -8.45,71.289, No data,No data,0.0,00:00:00
997.6, 3.32,72.416, No data,No data,0.0,00:00:00
996.1, -0.02,73.547, No data,No data,0.0,00:00:00
995.7, -24.20,74.866, -34.597598,-58.388060,0.0,11:43:06
996.5, 2.95,76.265, No data,No data,0.0,00:00:00
996.6, 8.72,77.753, -34.597594,-58.388060,0.0,11:43:07
997.7, 7.80,79.472, No data,No data,0.0,00:00:00
1000.5, -6.40,81.319, -34.597587,-58.388064,0.0,11:43:08
1002.4, -2.30,83.437, No data,No data,0.0,00:00:00
1003.6, -18.42,85.512, -34.597579,-58.388072,0.0,11:43:09
1004.3, -4.56,87.808, No data,No data,0.0,00:00:00
1003.0, -28.90,89.618, -34.597575,-58.388079,0.0,11:43:10
1001.2, -34.07,90.372, No data,No data,0.0,00:00:00
1000.2, 17.14,92.491, No data,No data,0.0,00:00:00
1006.7, -37.85,94.093, No data,No data,0.0,00:00:00
1008.3, -24.36,95.590, No data,No data,0.0,00:00:00
1007.3, -18.13,97.314, No data,No data,0.0,00:00:00
1005.5, -9.08,99.418, No data,No data,0.0,00:00:00
1005.4, -5.51,101.666, No data,No data,0.0,00:00:00
1004.6, -88.03,102.369, No data,No data,0.0,00:00:00
1001.4, -64.00,102.700, No data,No data,0.0,00:00:00
1001.4, -36.70,103.307, No data,No data,0.0,00:00:00
1001.1, -16.31,103.766, No data,No data,0.0,00:00:00
1001.4, -11.64,105.551, No data,No data,0.0,00:00:00
1001.0, -50.89,107.669, No data,No data,0.0,00:00:00
1001.5, -31.84,109.857, No data,No data,0.0,00:00:00
1002.3, -49.46,112.193, No data,No data,0.0,00:00:00
1002.9, -12.04,114.466, No data,No data,0.0,00:00:00
1003.2, -3.99,116.723, No data,No data,0.0,00:00:00
1006.3, -36.33,118.845, No data,No data,0.0,00:00:00
1007.7, -71.55,120.705, No data,No data,0.0,00:00:00
1009.8, -48.33,122.369, No data,No data,0.0,00:00:00
1008.0, -52.01,123.852, No data,No data,0.0,00:00:00
1007.6, -19.83,125.120, No data,No data,0.0,00:00:00
1007.2, -73.40,126.736, No data,No data,0.0,00:00:00
1006.0, -21.10,128.498, No data,No data,0.0,00:00:00
1005.3, -66.32,130.229, No data,No data,0.0,00:00:00
1003.9, -91.34,132.128, No data,No data,0.0,00:00:00
1003.4, -89.98,134.036, No data,No data,0.0,00:00:00
1002.7, -46.11,135.855, No data,No data,0.0,00:00:00
1004.2, -93.24,137.574, -34.597545,-58.388159,1.3,11:43:26
1001.0, -43.79,139.250, No data,No data,0.0,00:00:00
1000.4, -58.89,140.893, -34.597541,-58.388163,0.0,11:43:27
1001.1, -44.91,142.532, No data,No data,0.0,00:00:00
1000.5, -70.11,144.208, -34.597541,-58.388171,0.0,11:43:28
999.7, -66.51,146.060, No data,No data,0.0,00:00:00
998.2, -37.88,147.790, -34.597541,-58.388178,0.0,11:43:29
998.9, -226.33,149.644, No data,No data,0.0,00:00:00
1001.2, -34.82,151.420, -34.597537,-58.388182,0.0,11:43:30
1003.6, 1.07,153.470, No data,No data,0.0,00:00:00
1005.8, -93.76,155.337, -34.597537,-58.388190,0.0,11:43:31
1007.8, -94.13,157.179, No data,No data,0.0,00:00:00
1007.7, -61.77,159.121, -34.597537,-58.388190,0.0,11:43:32
1003.3, -38.27,161.085, No data,No data,0.0,00:00:00
1001.6, -60.83,163.127, -34.597537,-58.388194,0.0,11:43:33
999.4, -57.15,165.130, No data,No data,0.0,00:00:00
999.0, -19.63,166.895, -34.597533,-58.388197,0.0,11:43:34
997.9, -38.99,168.884, No data,No data,0.0,00:00:00
996.7, -143.01,171.019, -34.597529,-58.388205,0.0,11:43:35
996.8, -130.73,173.382, No data,No data,0.0,00:00:00
999.7, -87.60,175.451, -34.597533,-58.388217,0.0,11:43:36
999.1, -40.72,177.692, No data,No data,0.0,00:00:00
998.7, -22.05,179.736, -34.597533,-58.388228,0.0,11:43:37
998.6, -61.77,182.038, No data,No data,0.0,00:00:00
997.7, -65.07,184.133, -34.597533,-58.388232,0.0,11:43:38
994.2, -54.99,186.233, No data,No data,0.0,00:00:00
993.9, -46.25,188.260, -34.597533,-58.388239,0.0,11:43:39
992.7, -2.05,190.616, No data,No data,0.0,00:00:00
999.8, -65.58,192.785, -34.597529,-58.388239,0.0,11:43:40
1003.5, -181.24,195.046, No data,No data,0.0,00:00:00
997.8, -49.42,197.464, No data,No data,0.0,00:00:00
999.9, -51.21,200.098, No data,No data,0.0,00:00:00
1001.7, 7.81,200.608, No data,No data,0.0,00:00:00
999.6, -75.65,201.061, No data,No data,0.0,00:00:00
999.6, 11.72,203.793, No data,No data,0.0,00:00:00
1000.1, 10.98,206.566, No data,No data,0.0,00:00:00
1000.5, 8.36,209.427, No data,No data,0.0,00:00:00
1003.6, 0.13,212.298, No data,No data,0.0,00:00:00
1003.8, 2.38,214.835, -34.597507,-58.388270,2.0,11:43:46
1005.4, 4.25,217.275, No data,No data,0.0,00:00:00
1007.6, -4.97,219.644, -34.597503,-58.388274,1.6,11:43:47
1003.6, -57.58,221.666, No data,No data,0.0,00:00:00
997.9, -12.52,223.349, -34.597499,-58.388278,0.0,11:43:48
996.2, -19.19,225.345, No data,No data,0.0,00:00:00
997.0, -24.61,227.287, -34.597491,-58.388285,0.0,11:43:49
997.9, -46.26,229.259, No data,No data,0.0,00:00:00
998.6, -42.93,231.460, -34.597491,-58.388285,0.0,11:43:50
1003.1, -28.71,234.036, No data,No data,0.0,00:00:00
1005.0, -28.77,236.472, -34.597491,-58.388293,0.0,11:43:51
1005.7, -29.17,239.105, No data,No data,0.0,00:00:00
1005.8, -7.96,241.698, -34.597495,-58.388289,0.0,11:43:52
1006.2, 1.99,244.284, No data,No data,0.0,00:00:00
1006.3, -36.70,246.376, -34.597491,-58.388297,0.0,11:43:53
1006.1, -38.76,248.236, No data,No data,0.0,00:00:00
1005.9, 22.46,249.788, -34.597491,-58.388304,0.0,11:43:54
1006.1, -36.32,251.215, No data,No data,0.0,00:00:00
1007.6, -49.54,252.668, -34.597488,-58.388304,0.0,11:43:55
1011.6, -32.94,253.911, No data,No data,0.0,00:00:00
1015.1, -76.06,255.019, -34.597488,-58.388312,0.0,11:43:56
1011.3, 3.87,255.513, No data,No data,0.0,00:00:00
1011.2, 2.55,255.780, -34.597488,-58.388312,0.0,11:43:57
1011.2, -5.00,256.175, No data,No data,0.0,00:00:00
1009.3, 15.74,256.915, No data,No data,0.0,00:00:00
1007.5, -49.35,257.939, No data,No data,0.0,00:00:00
1006.8, -6.09,259.226, No data,No data,0.0,00:00:00
1007.0, -77.14,260.624, No data,No data,0.0,00:00:00
1006.2, -112.21,262.167, No data,No data,0.0,00:00:00
1004.7, -48.46,263.792, No data,No data,0.0,00:00:00
1004.6, -23.32,265.720, No data,No data,0.0,00:00:00
1004.3, -47.13,267.562, No data,No data,0.0,00:00:00
1003.4, -56.82,268.516, No data,No data,0.0,00:00:00
1002.5, -15.03,270.054, No data,No data,0.0,00:00:00
1001.9, -19.69,271.458, No data,No data,0.0,00:00:00
1000.6, -9.95,272.867, No data,No data,0.0,00:00:00
1000.7, -38.54,274.447, No data,No data,0.0,00:00:00
998.0, -52.78,276.654, -34.597476,-58.388320,0.9,11:44:07
1000.4, -12.75,278.876, No data,No data,0.0,00:00:00
999.6, -25.24,281.055, -34.597472,-58.388320,0.0,11:44:08
1001.9, -3.98,283.337, No data,No data,0.0,00:00:00
1002.6, -6.79,285.166, -34.597476,-58.388323,0.0,11:44:09
1005.8, -49.45,286.876, No data,No data,0.0,00:00:00
1007.2, -73.40,288.254, -34.597472,-58.388327,0.0,11:44:10
1004.2, -92.87,289.676, No data,No data,0.0,00:00:00
1004.1, -22.56,290.795, -34.597465,-58.388335,0.0,11:44:11
1004.5, -1.38,291.721, No data,No data,0.0,00:00:00
1006.0, 5.75,292.272, -34.597465,-58.388335,0.0,11:44:12
1006.8, 2.37,292.525, No data,No data,0.0,00:00:00
Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1006.7, -88.96,0.264, No data,No data,0.0,00:00:00
1005.7, 4.06,0.669, No data,No data,0.0,00:00:00
1006.2, 5.00,1.149, No data,No data,0.0,00:00:00
1005.7, 5.75,1.705, No data,No data,0.0,00:00:00
1004.9, -126.51,2.024, No data,No data,0.0,00:00:00
1003.0, -24.03,2.450, No data,No data,0.0,00:00:00
1002.3, -19.33,3.024, No data,No data,0.0,00:00:00
1002.0, -18.01,3.530, No data,No data,0.0,00:00:00
1000.2, -30.86,3.905, No data,No data,0.0,00:00:00
998.8, -80.81,5.096, No data,No data,0.0,00:00:00
997.2, -71.93,6.344, No data,No data,0.0,00:00:00
996.3, -71.67,7.634, No data,No data,0.0,00:00:00
996.6, 8.54,8.880, No data,No data,0.0,00:00:00
996.2, 4.44,9.920, No data,No data,0.0,00:00:00
997.4, -48.47,10.998, No data,No data,0.0,00:00:00
998.8, 6.12,12.021, No data,No data,0.0,00:00:00
1000.4, -0.04,13.096, No data,No data,0.0,00:00:00
1000.4, -36.29,14.323, No data,No data,0.0,00:00:00
1001.1, -55.01,15.678, No data,No data,0.0,00:00:00
1001.8, -22.87,17.020, No data,No data,0.0,00:00:00
1001.4, -12.95,18.431, No data,No data,0.0,00:00:00
1001.2, -43.98,19.923, No data,No data,0.0,00:00:00
1001.4, -71.11,21.519, No data,No data,0.0,00:00:00
999.6, -71.35,23.113, No data,No data,0.0,00:00:00
999.2, -38.67,24.669, -34.597430,-58.388411,0.6,11:44:56
999.7, -68.37,26.309, No data,No data,0.0,00:00:00
1001.9, -38.96,27.863, -34.597430,-58.388411,0.0,11:44:57
1003.1, -143.33,29.140, No data,No data,0.0,00:00:00
1002.1, -56.75,30.404, -34.597434,-58.388415,0.0,11:44:58
1000.9, -24.72,31.538, No data,No data,0.0,00:00:00
1001.1, -64.36,32.860, -34.597434,-58.388419,0.0,11:44:59
1000.6, -13.31,34.339, No data,No data,0.0,00:00:00
1001.9, -39.15,35.844, -34.597438,-58.388423,0.0,11:45:00
1001.9, -41.58,37.604, No data,No data,0.0,00:00:00
1002.2, -95.12,39.168, -34.597438,-58.388426,0.0,11:45:01
1001.9, -67.21,40.755, No data,No data,0.0,00:00:00
1000.5, -94.40,42.155, -34.597434,-58.388430,0.0,11:45:02
999.8, -51.01,43.708, No data,No data,0.0,00:00:00
1000.2, -41.88,45.349, -34.597434,-58.388434,0.0,11:45:03
1000.8, -64.34,47.306, No data,No data,0.0,00:00:00
1001.4, -63.07,48.969, -34.597430,-58.388438,0.0,11:45:04
1000.8, -93.12,50.900, No data,No data,0.0,00:00:00
1001.2, -28.84,52.610, -34.597430,-58.388442,0.0,11:45:05
1001.4, -41.75,54.379, No data,No data,0.0,00:00:00
1001.7, -48.50,56.062, No data,No data,0.0,00:00:00
1002.1, -42.34,57.833, No data,No data,0.0,00:00:00
1003.6, -54.40,59.513, No data,No data,0.0,00:00:00
1005.8, -55.27,61.268, No data,No data,0.0,00:00:00
1010.1, -90.58,62.949, No data,No data,0.0,00:00:00
1010.7, -90.63,64.398, No data,No data,0.0,00:00:00
1007.5, -6.66,65.680, No data,No data,0.0,00:00:00
1005.2, -49.42,66.981, No data,No data,0.0,00:00:00
1003.4, -27.79,68.266, No data,No data,0.0,00:00:00
999.8, -39.25,69.630, No data,No data,0.0,00:00:00
999.8, -33.09,71.132, No data,No data,0.0,00:00:00
999.1, -39.78,72.615, No data,No data,0.0,00:00:00
998.7, -73.53,74.269, No data,No data,0.0,00:00:00
1001.0, -35.75,76.027, No data,No data,0.0,00:00:00
1000.7, -24.71,77.811, No data,No data,0.0,00:00:00
1001.2, -67.54,79.724, No data,No data,0.0,00:00:00
1001.4, -93.36,81.497, No data,No data,0.0,00:00:00
1000.7, -57.42,83.207, No data,No data,0.0,00:00:00
1000.5, -34.05,84.903, No data,No data,0.0,00:00:00
999.2, -78.04,86.753, No data,No data,0.0,00:00:00
999.6, -52.68,88.600, No data,No data,0.0,00:00:00
998.1, -39.93,90.637, No data,No data,0.0,00:00:00
1000.9, -79.48,92.565, No data,No data,0.0,00:00:00
1001.5, -81.03,94.546, No data,No data,0.0,00:00:00
1003.3, -90.54,96.438, No data,No data,0.0,00:00:00
1001.9, -177.40,98.204, No data,No data,0.0,00:00:00
1001.7, -97.31,99.803, No data,No data,0.0,00:00:00
999.5, -99.34,101.520, No data,No data,0.0,00:00:00
998.7, -46.11,103.206, No data,No data,0.0,00:00:00
996.9, -31.68,104.926, No data,No data,0.0,00:00:00
996.8, -46.76,106.769, No data,No data,0.0,00:00:00
997.7, -71.59,108.775, No data,No data,0.0,00:00:00
999.0, -78.59,110.581, No data,No data,0.0,00:00:00
998.2, -40.68,112.363, No data,No data,0.0,00:00:00
1001.2, -49.22,114.238, No data,No data,0.0,00:00:00
1001.7, -50.93,115.916, No data,No data,0.0,00:00:00
1003.6, -14.30,117.566, No data,No data,0.0,00:00:00
1002.1, -66.48,119.213, No data,No data,0.0,00:00:00
1003.3, -26.47,120.993, No data,No data,0.0,00:00:00
1003.4, -13.73,122.867, No data,No data,0.0,00:00:00
1004.8, -45.84,124.818, No data,No data,0.0,00:00:00
1004.1, -28.56,126.581, No data,No data,0.0,00:00:00
1005.4, -32.73,128.215, No data,No data,0.0,00:00:00
1003.6, -74.26,129.962, No data,No data,0.0,00:00:00
1000.3, -122.59,131.556, No data,No data,0.0,00:00:00
1002.3, -16.34,133.252, -34.597396,-58.388548,0.0,11:45:29
1004.3, -35.50,134.790, No data,No data,0.0,00:00:00
1004.6, -81.27,136.240, -34.597396,-58.388552,0.0,11:45:30
1003.6, -0.43,137.637, No data,No data,0.0,00:00:00
1003.3, -20.29,139.107, -34.597396,-58.388560,0.0,11:45:31
1001.6, -28.48,140.773, No data,No data,0.0,00:00:00
1002.2, -29.06,142.359, -34.597396,-58.388564,0.0,11:45:32
1001.8, -21.00,144.258, No data,No data,0.0,00:00:00
1003.1, -35.45,145.980, -34.597392,-58.388571,0.0,11:45:33
1003.9, -67.16,147.669, No data,No data,0.0,00:00:00
1004.6, -27.45,149.020, -34.597388,-58.388579,0.0,11:45:34
1003.2, -48.38,150.711, No data,No data,0.0,00:00:00
1002.2, -51.14,152.277, -34.597385,-58.388587,0.0,11:45:35
999.2, -38.48,153.876, No data,No data,0.0,00:00:00
998.4, -36.02,155.432, -34.597385,-58.388590,0.0,11:45:36
998.6, -52.82,157.272, No data,No data,0.0,00:00:00
999.4, -34.76,159.224, -34.597381,-58.388598,0.0,11:45:37
997.5, -43.26,161.226, No data,No data,0.0,00:00:00
998.6, -20.55,163.341, -34.597377,-58.388606,0.0,11:45:38
998.9, -65.52,165.569, No data,No data,0.0,00:00:00
1001.1, -46.41,167.396, No data,No data,0.0,00:00:00
1003.1, -30.77,169.357, No data,No data,0.0,00:00:00
999.6, 44.39,171.252, No data,No data,0.0,00:00:00
999.8, -112.26,172.927, No data,No data,0.0,00:00:00
999.1, -72.25,174.355, No data,No data,0.0,00:00:00
999.3, -48.56,176.393, No data,No data,0.0,00:00:00
997.8, -90.42,178.218, No data,No data,0.0,00:00:00
996.9, -21.26,180.095, No data,No data,0.0,00:00:00
996.7, -61.84,181.818, No data,No data,0.0,00:00:00
997.0, -5.43,183.666, No data,No data,0.0,00:00:00
996.8, -55.33,185.498, No data,No data,0.0,00:00:00
996.6, -46.94,187.507, No data,No data,0.0,00:00:00
997.2, -37.28,189.351, No data,No data,0.0,00:00:00
997.2, -70.81,191.517, No data,No data,0.0,00:00:00
996.9, -14.74,193.501, No data,No data,0.0,00:00:00
995.9, -26.25,195.789, No data,No data,0.0,00:00:00
994.4, -72.28,198.025, No data,No data,0.0,00:00:00
995.5, -47.07,200.306, No data,No data,0.0,00:00:00
996.8, -40.80,202.478, No data,No data,0.0,00:00:00
1003.1, -88.65,204.560, No data,No data,0.0,00:00:00
1007.1, -86.74,206.410, No data,No data,0.0,00:00:00
1004.1, -52.74,208.175, No data,No data,0.0,00:00:00
1003.2, -18.60,209.153, No data,No data,0.0,00:00:00
996.2, -65.90,209.511, No data,No data,0.0,00:00:00
995.2, -90.19,210.393, -34.597358,-58.388693,0.9,11:45:52
994.2, -89.17,211.893, No data,No data,0.0,00:00:00
994.7, -40.34,213.754, -34.597358,-58.388701,0.0,11:45:53
995.3, 5.00,215.555, No data,No data,0.0,00:00:00
996.2, -12.86,217.073, -34.597354,-58.388709,0.0,11:45:54
997.2, -8.04,218.470, No data,No data,0.0,00:00:00
996.9, 13.38,219.398, -34.597346,-58.388716,0.0,11:45:55
996.7, 6.68,220.230, No data,No data,0.0,00:00:00
996.4, 2.21,220.916, -34.597350,-58.388720,0.5,11:45:56
996.5, 7.42,221.676, No data,No data,0.0,00:00:00
996.3, -5.42,222.045, -34.597346,-58.388728,0.8,11:45:57
996.3, -0.77,222.631, No data,No data,0.0,00:00:00
996.2, -95.11,223.816, No data,No data,0.0,00:00:00
997.6, -42.89,224.502, No data,No data,0.0,00:00:00
998.6, -43.86,225.220, No data,No data,0.0,00:00:00
1000.7, -2.66,226.077, No data,No data,0.0,00:00:00
999.0, -28.02,226.965, No data,No data,0.0,00:00:00
1000.5, -34.42,228.004, No data,No data,0.0,00:00:00
1003.5, -76.69,229.286, No data,No data,0.0,00:00:00
1007.8, -180.10,230.906, No data,No data,0.0,00:00:00
1011.0, -78.39,231.904, No data,No data,0.0,00:00:00
1006.8, -48.19,233.053, No data,No data,0.0,00:00:00
1004.3, -59.69,234.306, No data,No data,0.0,00:00:00
1003.2, -42.95,235.663, No data,No data,0.0,00:00:00
1002.1, -37.10,237.028, No data,No data,0.0,00:00:00
1002.3, -28.87,238.147, No data,No data,0.0,00:00:00
1001.4, -43.81,238.949, No data,No data,0.0,00:00:00
1000.9, 2.57,239.313, -34.597339,-58.388770,0.0,11:46:07
1000.6, -1.54,239.660, No data,No data,0.0,00:00:00
999.5, -1.35,240.156, No data,No data,0.0,00:00:00
998.8, 0.52,240.788, No data,No data,0.0,00:00:00
999.0, -6.75,241.401, -34.597339,-58.388777,0.0,11:46:09
999.1, -0.78,241.701, No data,No data,0.0,00:00:00
998.7, 1.46,242.155, No data,No data,0.0,00:00:00
997.9, 6.86,242.574, No data,No data,0.0,00:00:00
997.8, -7.30,243.167, No data,No data,0.0,00:00:00
996.9, 7.79,243.614, No data,No data,0.0,00:00:00
997.8, -7.30,244.073, No data,No data,0.0,00:00:00
Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
997.6, 7.79,0.303, No data,No data,0.0,00:00:00
999.6, -17.77,0.909, No data,No data,0.0,00:00:00
999.2, -11.98,1.718, No data,No data,0.0,00:00:00
1000.7, -10.70,2.588, No data,No data,0.0,00:00:00
1000.2, -51.78,3.684, No data,No data,0.0,00:00:00
1001.4, -60.07,4.825, No data,No data,0.0,00:00:00
1002.7, -0.43,5.817, No data,No data,0.0,00:00:00
1001.8, 4.63,6.856, No data,No data,0.0,00:00:00
1003.3, -39.21,7.929, No data,No data,0.0,00:00:00
1002.9, 3.69,9.284, No data,No data,0.0,00:00:00
1006.0, -41.39,10.581, No data,No data,0.0,00:00:00
1009.1, -32.10,11.931, No data,No data,0.0,00:00:00
1010.9, -58.20,13.355, No data,No data,0.0,00:00:00
1005.1, -119.03,14.942, No data,No data,0.0,00:00:00
999.6, -96.74,16.505, No data,No data,0.0,00:00:00
999.2, -60.69,17.954, No data,No data,0.0,00:00:00
997.3, -88.14,19.341, No data,No data,0.0,00:00:00
997.1, -49.38,20.666, No data,No data,0.0,00:00:00
996.4, -29.80,21.902, No data,No data,0.0,00:00:00
996.6, -47.87,23.419, No data,No data,0.0,00:00:00
996.7, -32.42,24.643, No data,No data,0.0,00:00:00
997.7, -27.24,25.861, No data,No data,0.0,00:00:00
998.3, -95.31,27.068, No data,No data,0.0,00:00:00
999.5, -13.85,28.477, No data,No data,0.0,00:00:00
1000.3, -30.31,29.963, No data,No data,0.0,00:00:00
