Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1010.2, -10.65,83.894, No fix,No fix,0.0,00:00:00
1010.9, -14.05,84.155, No data,No data,0.0,00:00:00
1004.3, -96.44,84.948, No data,No data,0.0,00:00:00
1008.8, -42.82,85.776, No fix,No fix,0.0,00:00:00
1006.7, -69.23,86.458, No data,No data,0.0,00:00:00
1005.9, -7.02,87.180, No data,No data,0.0,00:00:00
1005.6, -23.91,87.843, No data,No data,0.0,00:00:00
1004.4, -52.01,88.539, No fix,No fix,0.0,00:00:00
1004.4, -27.82,89.231, No data,No data,0.0,00:00:00
1004.7, -46.96,90.083, No fix,No fix,0.0,00:00:00
1004.8, -51.09,91.220, No data,No data,0.0,00:00:00
1005.7, -62.40,92.260, No data,No data,0.0,00:00:00
1006.3, -97.00,93.389, No data,No data,0.0,00:00:00
1006.9, -42.74,94.250, No data,No data,0.0,00:00:00
1006.9, -22.44,95.127, No data,No data,0.0,00:00:00
1006.0, -96.97,96.135, No data,No data,0.0,00:00:00
1006.4, -14.73,97.413, No data,No data,0.0,00:00:00
1008.4, -79.13,98.841, No data,No data,0.0,00:00:00
1013.1, -105.40,100.124, No data,No data,0.0,00:00:00
1013.6, -31.12,101.548, No data,No data,0.0,00:00:00
1012.7, -108.38,102.911, No data,No data,0.0,00:00:00
1013.0, 7.65,104.362, No data,No data,0.0,00:00:00
1011.6, -85.80,105.746, No data,No data,0.0,00:00:00
1013.0, -48.87,107.017, No data,No data,0.0,00:00:00
1012.7, -18.05,108.184, No data,No data,0.0,00:00:00
1010.9, -78.57,109.533, No data,No data,0.0,00:00:00
1011.0, -121.60,110.866, No data,No data,0.0,00:00:00
1007.9, -28.30,112.089, No data,No data,0.0,00:00:00
1006.1, -88.53,113.342, No data,No data,0.0,00:00:00
1007.8, -91.50,114.526, No data,No data,0.0,00:00:00
1006.5, -51.93,115.681, No data,No data,0.0,00:00:00
1008.0, -89.83,116.708, No data,No data,0.0,00:00:00
